iter	Passed	Remaining
0	2	2640
1	4	2400
2	6	2232
3	9	2474
4	12	2423
5	14	2390
6	16	2357
7	18	2333
8	21	2326
9	23	2298
10	26	2369
11	28	2382
12	31	2357
13	33	2340
14	35	2331
15	37	2323
16	40	2324
17	43	2369
18	46	2417
19	49	2408
20	51	2399
21	53	2388
22	56	2400
23	59	2434
24	62	2424
25	64	2410
26	66	2398
27	68	2389
28	71	2394
29	74	2420
30	76	2404
31	78	2386
32	80	2369
33	82	2356
34	85	2347
35	87	2351
36	90	2366
37	93	2354
38	95	2347
39	97	2341
40	99	2336
41	102	2332
42	104	2330
43	106	2322
44	109	2314
45	111	2311
46	113	2304
47	115	2298
48	118	2293
49	122	2320
50	124	2315
51	126	2306
52	128	2299
53	130	2294
54	133	2289
55	137	2314
56	140	2323
57	142	2319
58	144	2312
59	147	2304
60	149	2300
61	152	2313
62	155	2307
63	157	2302
64	159	2294
65	161	2283
66	163	2278
67	166	2278
68	169	2282
69	171	2271
70	173	2264
71	175	2259
72	177	2253
73	179	2247
74	182	2254
75	185	2255
76	187	2249
77	189	2242
78	191	2237
79	194	2234
80	196	2234
81	199	2233
82	201	2228
83	203	2224
84	206	2220
85	208	2215
86	210	2212
87	213	2213
88	216	2215
89	218	2211
90	220	2206
91	222	2200
92	225	2195
93	227	2192
94	230	2198
95	233	2202
96	236	2205
97	239	2202
98	241	2199
99	244	2196
100	247	2204
101	250	2202
102	252	2198
103	254	2195
104	257	2191
105	259	2189
106	262	2193
107	265	2190
108	267	2186
109	269	2183
110	272	2180
111	274	2176
112	277	2181
113	280	2179
114	282	2174
115	284	2170
116	287	2166
117	289	2162
118	291	2160
119	294	2156
120	296	2152
121	298	2149
122	300	2145
123	303	2142
124	305	2139
125	308	2140
126	311	2137
127	313	2133
128	315	2129
129	317	2124
130	319	2121
131	321	2115
132	325	2118
133	327	2117
134	329	2114
135	332	2110
136	334	2107
137	336	2103
138	339	2102
139	342	2102
140	345	2104
141	347	2100
142	349	2096
143	352	2092
144	354	2089
145	357	2091
146	360	2089
147	362	2085
148	364	2082
149	366	2079
150	369	2076
151	374	2091
152	378	2094
153	381	2095
154	385	2100
155	389	2106
156	391	2102
157	393	2097
158	395	2093
159	398	2089
160	400	2087
161	411	2126
162	413	2125
163	416	2122
164	419	2122
165	422	2120
166	424	2115
167	426	2111
168	428	2107
169	430	2101
170	432	2097
171	435	2097
172	439	2100
173	441	2097
174	444	2093
175	446	2090
176	448	2087
177	451	2086
178	454	2082
179	456	2078
180	458	2075
181	460	2070
182	462	2067
183	466	2067
184	468	2063
185	470	2059
186	472	2055
187	474	2050
188	477	2046
189	479	2042
190	481	2040
191	483	2036
192	486	2033
193	488	2029
194	490	2023
195	492	2020
196	495	2017
197	498	2017
198	500	2014
199	502	2011
200	505	2007
201	507	2004
202	509	2000
203	513	2004
204	516	2001
205	518	1997
206	520	1994
207	522	1991
208	525	1988
209	528	1987
210	531	1986
211	534	1986
212	536	1982
213	538	1979
214	541	1976
215	544	1974
216	547	1974
217	549	1969
218	551	1965
219	553	1962
220	555	1959
221	558	1956
222	561	1956
223	564	1953
224	566	1950
225	568	1947
226	570	1943
227	573	1940
228	575	1938
229	577	1934
230	580	1931
231	582	1927
232	584	1924
233	586	1920
234	589	1917
235	592	1917
236	594	1914
237	597	1911
238	599	1907
239	601	1904
240	603	1900
241	605	1897
242	608	1897
243	611	1893
244	613	1890
245	615	1887
246	618	1884
247	620	1881
248	623	1881
249	626	1879
250	628	1876
251	631	1873
252	633	1870
253	635	1866
254	638	1864
255	641	1863
256	644	1864
257	646	1860
258	649	1857
259	651	1854
260	654	1853
261	657	1852
262	660	1850
263	663	1848
264	665	1846
265	668	1843
266	671	1842
267	673	1840
268	676	1837
269	678	1835
270	681	1833
271	684	1830
272	687	1830
273	689	1827
274	691	1824
275	694	1821
276	696	1818
277	698	1815
278	701	1813
279	704	1810
280	706	1807
281	708	1803
282	710	1799
283	712	1795
284	714	1792
285	717	1790
286	719	1787
287	721	1784
288	724	1781
289	726	1777
290	728	1774
291	730	1771
292	733	1771
293	736	1769
294	739	1766
295	741	1764
296	743	1760
297	746	1758
298	751	1761
299	754	1760
300	756	1756
301	758	1752
302	760	1749
303	763	1747
304	765	1744
305	767	1741
306	769	1737
307	771	1734
308	774	1731
309	776	1728
310	779	1725
311	782	1725
312	784	1722
313	787	1719
314	789	1716
315	791	1713
316	793	1710
317	796	1708
318	799	1706
319	801	1702
320	803	1699
321	805	1696
322	807	1693
323	810	1691
324	814	1691
325	816	1688
326	819	1686
327	821	1683
328	823	1680
329	826	1677
330	829	1676
331	832	1674
332	834	1672
333	837	1669
334	839	1666
335	841	1663
336	844	1662
337	847	1659
338	849	1656
339	851	1653
340	854	1650
341	856	1647
342	858	1644
343	860	1641
344	863	1638
345	865	1636
346	867	1633
347	870	1630
348	872	1627
349	875	1626
350	878	1624
351	880	1621
352	883	1618
353	885	1615
354	887	1612
355	891	1612
356	893	1609
357	896	1607
358	898	1604
359	900	1601
360	902	1598
361	906	1597
362	909	1595
363	911	1593
364	914	1590
365	916	1587
366	918	1584
367	921	1582
368	924	1580
369	926	1577
370	928	1574
371	931	1572
372	933	1569
373	935	1566
374	938	1564
375	943	1565
376	946	1563
377	948	1561
378	951	1559
379	954	1557
380	957	1555
381	960	1553
382	963	1551
383	966	1549
384	970	1549
385	973	1547
386	975	1545
387	978	1543
388	981	1541
389	985	1540
390	988	1539
391	991	1537
392	993	1534
393	996	1532
394	999	1530
395	1003	1531
396	1006	1528
397	1009	1526
398	1012	1524
399	1016	1524
400	1021	1526
401	1025	1526
402	1028	1523
403	1031	1522
404	1036	1523
405	1039	1520
406	1042	1518
407	1044	1516
